id,terrestrial_date,ls,month,min_temp,pressure
2,2012-08-16,155,6,-75.0,739.0
13,2012-08-17,156,6,-76.0,740.0
24,2012-08-18,156,6,-76.0,741.0
35,2012-08-19,157,6,-74.0,732.0
46,2012-08-20,157,6,-74.0,740.0
57,2012-08-21,158,6,-78.0,740.0
68,2012-08-22,158,6,-77.0,740.0
79,2012-08-23,159,6,-76.0,742.0
112,2012-08-27,161,6,-74.0,741.0
114,2012-08-28,162,6,-74.0,742.0
123,2012-08-29,162,6,-75.0,741.0
134,2012-08-30,163,6,-75.0,742.0
145,2012-08-31,163,6,-75.0,743.0
156,2012-09-01,164,6,-76.0,745.0
163,2012-09-02,164,6,-75.0,743.0
170,2012-09-03,165,6,-75.0,745.0
171,2012-09-04,166,6,-75.0,747.0
172,2012-09-05,166,6,-74.0,747.0
173,2012-09-06,167,6,-74.0,745.0
175,2012-09-08,168,6,-73.0,748.0
176,2012-09-10,168,6,-73.0,748.0
177,2012-09-11,169,6,-73.0,749.0
178,2012-09-12,169,6,-73.0,750.0
179,2012-09-13,170,6,-73.0,750.0
180,2012-09-14,171,6,-73.0,750.0
181,2012-09-15,171,6,-75.0,751.0
182,2012-09-16,172,6,-75.0,753.0
183,2012-09-17,172,6,-75.0,753.0
184,2012-09-18,173,6,-75.0,754.0
185,2012-09-19,173,6,-74.0,756.0
186,2012-09-20,174,6,-75.0,757.0
187,2012-09-21,175,6,-74.0,758.0
188,2012-09-22,175,6,-74.0,758.0
189,2012-09-23,176,6,-75.0,758.0
190,2012-09-24,176,6,-75.0,759.0
191,2012-09-25,177,6,-74.0,761.0
192,2012-09-26,177,6,-72.0,761.0
193,2012-09-27,178,6,-76.0,762.0
194,2012-09-28,179,6,-74.0,762.0
195,2012-09-29,179,6,-71.0,764.0
196,2012-09-30,180,7,-72.0,766.0
197,2012-10-01,180,7,-74.0,766.0
198,2012-10-02,181,7,-73.0,768.0
199,2012-10-03,181,7,-73.0,769.0
200,2012-10-04,182,7,-74.0,769.0
201,2012-10-05,183,7,-76.0,771.0
202,2012-10-06,183,7,-75.0,772.0
203,2012-10-07,184,7,-72.0,772.0
204,2012-10-08,184,7,-72.0,774.0
205,2012-10-09,185,7,-73.0,775.0
206,2012-10-10,186,7,-74.0,776.0
207,2012-10-11,186,7,-72.0,777.0
208,2012-10-12,187,7,-73.0,778.0
209,2012-10-13,187,7,-73.0,780.0
210,2012-10-14,188,7,-71.0,781.0
211,2012-10-15,189,7,-73.0,778.0
212,2012-10-17,189,7,-72.0,783.0
213,2012-10-18,190,7,-71.0,784.0
214,2012-10-19,190,7,-73.0,785.0
215,2012-10-20,191,7,-70.0,788.0
216,2012-10-21,192,7,-72.0,790.0
217,2012-10-22,192,7,-73.0,791.0
218,2012-10-23,193,7,-73.0,792.0
219,2012-10-24,193,7,-71.0,792.0
220,2012-10-25,194,7,-71.0,793.0
221,2012-10-26,195,7,-73.0,795.0
222,2012-10-27,195,7,-70.0,796.0
223,2012-10-28,196,7,-72.0,798.0
224,2012-10-29,196,7,-72.0,799.0
225,2012-10-30,197,7,-72.0,801.0
226,2012-10-31,198,7,-70.0,801.0
227,2012-11-01,198,7,-71.0,805.0
228,2012-11-02,199,7,-71.0,808.0
229,2012-11-03,199,7,-70.0,808.0
230,2012-11-04,200,7,-70.0,811.0
231,2012-11-05,201,7,-73.0,813.0
233,2012-11-06,201,7,-71.0,813.0
234,2012-11-07,202,7,-74.0,817.0
235,2012-11-08,202,7,-74.0,820.0
236,2012-11-09,203,7,-72.0,819.0
237,2012-11-10,204,7,-70.0,822.0
238,2012-11-11,204,7,-68.0,822.0
239,2012-11-12,205,7,-71.0,826.0
240,2012-11-13,206,7,-68.0,828.0
241,2012-11-14,206,7,-68.0,828.0
242,2012-11-15,207,7,-68.0,829.0
3,2012-11-16,207,7,-66.0,829.0
4,2012-11-17,208,7,-65.0,830.0
5,2012-11-18,209,7,-67.0,833.0
6,2012-11-19,209,7,-66.0,836.0
7,2012-11-20,210,8,-67.0,838.0
8,2012-11-21,211,8,-66.0,839.0
9,2012-11-23,211,8,-66.0,841.0
10,2012-11-24,212,8,-66.0,844.0
11,2012-11-25,212,8,-65.0,845.0
12,2012-11-26,213,8,-64.0,844.0
14,2012-11-27,214,8,-65.0,848.0
15,2012-11-28,214,8,-66.0,849.0
16,2012-11-29,215,8,-65.0,852.0
17,2012-11-30,216,8,-66.0,857.0
18,2012-12-01,216,8,-69.0,857.0
19,2012-12-02,217,8,-66.0,857.0
20,2012-12-03,217,8,-67.0,859.0
21,2012-12-04,218,8,-66.0,861.0
22,2012-12-05,219,8,-65.0,864.0
23,2012-12-06,219,8,-66.0,866.0
25,2012-12-07,220,8,-67.0,867.0
26,2012-12-08,221,8,-66.0,869.0
27,2012-12-09,221,8,-65.0,869.0
28,2012-12-10,222,8,-66.0,875.0
29,2012-12-11,223,8,-66.0,876.0
30,2012-12-12,223,8,-68.0,880.0
31,2012-12-13,224,8,-66.0,880.0
32,2012-12-14,224,8,-67.0,884.0
33,2012-12-15,225,8,-67.0,883.0
34,2012-12-16,226,8,-65.0,886.0
36,2012-12-17,226,8,-65.0,888.0
37,2012-12-18,227,8,-65.0,889.0
38,2012-12-19,228,8,-65.0,890.0
39,2012-12-20,228,8,-65.0,891.0
40,2012-12-21,229,8,-67.0,893.0
41,2012-12-22,230,8,-65.0,894.0
42,2012-12-23,230,8,-65.0,897.0
43,2012-12-24,231,8,-64.0,896.0
44,2012-12-25,232,8,-65.0,899.0
45,2012-12-26,232,8,-66.0,899.0
47,2012-12-27,233,8,-66.0,903.0
48,2012-12-28,233,8,-64.0,904.0
49,2012-12-29,234,8,-65.0,906.0
50,2012-12-31,235,8,-63.0,908.0
51,2013-01-01,235,8,-64.0,907.0
52,2013-01-02,236,8,-64.0,909.0
53,2013-01-03,237,8,-65.0,908.0
54,2013-01-04,237,8,-65.0,914.0
55,2013-01-05,238,8,-65.0,912.0
56,2013-01-06,239,8,-65.0,914.0
58,2013-01-07,239,8,-64.0,913.0
59,2013-01-08,240,9,-65.0,915.0
60,2013-01-09,241,9,-63.0,914.0
61,2013-01-10,241,9,-65.0,915.0
